行业领域,技术类型,工艺环节,技术名称,技术说明,时间基准,规模基准,技术成熟度,投资成本(元-纸浆/吨-纸),固定成本(元/吨-纸),年化总成本(元/吨-纸),节电潜力(kwh/吨-纸),节煤潜力(GJ/吨-纸),减排潜力(tCO2/吨-纸),单位减排成本(元/吨CO2),运行寿命(y),投资成本(元-纸浆/吨-纸浆),固定成本(元/吨-纸浆),年化总成本(元/吨-纸浆),节电潜力(kwh/吨-纸浆),节煤潜力(GJ/吨-纸浆),减排潜力(tCO2/吨-纸浆),
造纸,机改技术,整体措施,变速驱动器（Adjustable-speed-drives）------可参与成本分析技术,技术说明：,2016,null,商业应用,6.1815,0.247,1.13,10.5,0,0.0061,185.25,10,0,0,0,0,0,0,
造纸,机改技术,整体措施,循环冷却水系统防垢技术（Scale-prevention-in-cooling-water-system）------可参与成本分析技术,技术说明：,2016,null,商业应用,0.598,0.0239,0.11,4.1,0,0.0024,45.83,10,0,0,0,0,0,0,
造纸,机改技术,整体措施,永磁涡流柔性传动调速装置（Permanent-magnet-eddy-current-flexible-transmission）------可参与成本分析技术,技术说明：,2016,null,商业应用,0.6565,0.0263,0.09,4.35,0,0.0025,36,20,0,0,0,0,0,0,
造纸,机改技术,整体措施,照明节能技术（Energy-efficient-lighting）------可参与成本分析技术,技术说明：,2016,null,商业应用,7.813,0.312,1.42,14,0,0.0081,175.31,10,0,0,0,0,0,0,
造纸,机改技术,整体措施,造纸行业能源管理系统（Energy-management-sysytem-for-paper-industry）------可参与成本分析技术,技术说明：,2016,null,商业应用,28.7105,1.148,5.24,25,0.3,0.041,127.8,10,0,0,0,0,0,0,
造纸,机改技术,纸浆生产,化学法制浆黑液气化技术（Black-liquor-gasification-for-chemical-pulping-(-to-generation)）------可参与成本分析技术,技术说明：,2016,null,商业应用,0,0,0,0,0,0,1354.16,20,3224.351,128.974,433.33,555.5,0,0.32,
造纸,机改技术,纸浆生产,化学热磨机械浆优化技术（Improvements-in-chemi-thermomechanical-pulping）------可参与成本分析技术,技术说明：,2016,null,商业应用,0,0,0,0,0,0,2006.19,20,2388.464,95.538,320.99,283,0,0.16,
造纸,机改技术,纸浆生产,废纸浮选脱墨优化技术（De-inking-flotation-optimization-for-recovered-fibers）------可参与成本分析技术,技术说明：,2016,null,工业示范,0,0,0,0,0,0,123.75,15,6.5975,0.264,0.99,13.8,0,0.008,
造纸,机改技术,纸浆生产,废纸高效分散技术（Efficient-disperser-for-recovered-fibers）------可参与成本分析技术,技术说明：,2016,null,商业应用,0,0,0,0,0,0,345.71,15,8.06,0.322,1.21,6.1,0,0.0035,
造纸,机改技术,纸浆生产,废纸高效纤维筛选技术（High-efficiency-screening-of-recovered-fibers）------可参与成本分析技术,技术说明：,2016,null,商业应用,0,0,0,0,0,0,542,20,40.3,1.612,5.42,18,0,0.01,
造纸,机改技术,纸浆生产,废纸高浓制浆技术（High-consistency-pulping-of-recovered-fibers）------可参与成本分析技术,技术说明：,2016,null,商业应用,0,0,0,0,0,0,737.5,20,17.55,0.702,2.36,5.5,0,0.0032,
造纸,机改技术,纸浆生产,废纸鼓式连续碎浆机（Continuous-drum-pulper-of-recovered-fibers）------可参与成本分析技术,技术说明：,2016,null,商业应用,0,0,0,0,0,0,89.5,20,13.314,0.532,1.79,35,0,0.02,
造纸,机改技术,纸浆生产,机械制浆生物预处理技术（Enzymatic-pre-treatment-for-mechanical-pulping）------可参与成本分析技术,技术说明：,2016,null,基础研究,0,0,0,0,0,0,1586.9,15,3178.188,127.127,476.07,517,0,0.3,
造纸,机改技术,纸浆生产,机械制浆磨浆机改造技术（Refiner-improvements-for-mechanical-pulping）------可参与成本分析技术,技术说明：,2016,null,商业应用,0,0,0,0,0,0,42.83,25,61.295,2.452,7.71,305,0,0.18,
造纸,机改技术,纸浆生产,机械制浆高效研磨技术High-efficiency-grinding-for-mechanical-pulping）------可参与成本分析技术,技术说明：,2016,null,工业示范,0,0,0,0,0,0,1746.02,5,2583.1455,103.326,733.33,720,0,0.42,
造纸,机改技术,纸浆生产,机械制浆高效预压式磨浆机（High-efficiency-refiner-with-pre-compression-for-mechanical-pulping）------可参与成本分析技术,技术说明：,2016,null,商业应用,0,0,0,0,0,0,415.6,20,773.11,30.924,103.9,431,0,0.25,
造纸,机改技术,造纸,带式干燥技术（Condebelt-drying）------可参与成本分析技术,技术说明：,2016,null,商业应用,549.3475,21.973,69.11,20,1.6,0.15,460.73,25,0,0,0,0,0,0,
造纸,机改技术,造纸,带有圆柱形磨区的高效盘磨机(如Papillon盘磨机)-（Efficient-refiner-with-a-cylindrical-refining-zone-(e.g.-Papillon-refiner)）------可参与成本分析技术,技术说明：,2016,null,商业应用,111.384,4.455,14.97,32.8,0,0.019,787.89,20,0,0,0,0,0,0,
造纸,机改技术,造纸,新型夹网纸机（Gap-former）------可参与成本分析技术,技术说明：,2016,null,商业应用,557.31,22.292,101.64,40,0,0.023,4419.13,10,0,0,0,0,0,0,
造纸,机改技术,造纸,污泥回收利用技术（Sludge-recovery-and-utilization）------可参与成本分析技术,技术说明：,2016,null,商业应用,8.203,0.328,1.1,0.65,0.28,0.025,44,20,0,0,0,0,0,0,
造纸,机改技术,造纸,盘磨过程优化（Refining-process-optimization）------可参与成本分析技术,技术说明：,2016,null,商业应用,4.394,0.176,0.59,20.8,0,0.012,49.17,20,0,0,0,0,0,0,
造纸,机改技术,造纸,纤维化学法改性技术（Chemical-modification-of-fibers）------可参与成本分析技术,技术说明：,2016,null,基础研究,30.043,1.202,4.04,45.5,0.185,0.043,93.95,20,0,0,0,0,0,0,
造纸,机改技术,造纸,造纸机封闭式气罩（Enclosed-paper-machine-hood）------可参与成本分析技术,技术说明：,2016,null,商业应用,51.623,2.065,6.49,7.44,0.185,0.021,309.05,25,0,0,0,0,0,0,
造纸,机改技术,造纸,造纸机真空系统节能优化（Vacuum-system-optimization-for-paper-machine）------可参与成本分析技术,技术说明：,2016,null,商业应用,3.25,0.13,0.49,5.56,0,0.0032,153.13,15,0,0,0,0,0,0,
造纸,机改技术,造纸,降低空气需求（Reducing-air-requirements）------可参与成本分析技术,技术说明：,2016,null,商业应用,75.634,3.025,13.79,6.3,0.76,0.072,191.53,10,0,0,0,0,0,0,
造纸,机改技术,造纸,高效双盘研磨机（High-efficiency-double-disc-refiner）------可参与成本分析技术,技术说明：,2016,null,商业应用,5.772,0.231,0.78,17,0,0.0099,78.79,20,0,0,0,0,0,0,
造纸,机改技术,造纸,高浓成型技术（High-consistency-forming）------可参与成本分析技术,技术说明：,2016,null,商业应用,557.31,22.292,83.48,41,0,0.024,3478.33,15,0,0,0,0,0,0,
