行业领域,技术类型,工艺环节,技术名称,技术说明,时间基准,规模基准,技术成熟度,投资成本(元/吨),固定成本(元/吨),年化总成本(元/吨),节电潜力(kwh/吨),节煤潜力(GJ/吨),减排潜力(tCO2/t),单位减排成本(元/吨CO2),运行寿命(y),投资成本(元/吨-蒸汽),固定成本(元/吨-蒸汽),年化总成本(元/吨-蒸汽),节电潜力(kwh/吨-蒸汽),节煤潜力(GJ/吨-蒸汽),减排潜力(tCO2/吨-蒸汽),投资成本(元),固定成本(元),年化总成本(元),节电潜力(kwh),节煤潜力(GJ),减排潜力(tCO2),投资成本(元/吨-氯碱),固定成本(元/吨-氯碱),年化总成本(元/吨-氯碱),节电潜力(kwh/吨-氯碱),节煤潜力(GJ/吨-氯碱),减排潜力(tCO2/吨-氯碱),投资成本(元/吨-氨),固定成本(元/吨-氨),年化总成本(元/吨-氨),节电潜力(kwh/吨-氨),节煤潜力(GJ/吨-氨),减排潜力(tCO2/吨-氨),投资成本(元/吨-电石),固定成本(元/吨-电石),年化总成本(元/吨-电石),节电潜力(kwh/吨-电石),节煤潜力(GJ/吨-电石),减排潜力(tCO2/吨-电石),投资成本(元/吨-PVC),固定成本(元/吨-PVC),年化总成本(元/吨-PVC),节电潜力(kwh/吨-PVC),节煤潜力(GJ/吨-PVC),减排潜力(tCO2/吨-PVC),
石化化工,机改技术,CCUS技术,新型高效低能耗二氧化碳捕集技术------可参与成本分析技术,技术说明：该技术利用化学吸收剂与CO2的可逆反应，在一定温度和压力下， 实现原料气中CO2的脱除和富集。传统的化学吸收液如乙醇胺（MEA） 溶液普遍存在再生能耗较大、腐蚀性较强等问题。本技术从分子结构 设计的角度进行新型胺基溶剂的设计，开发了多种活性胺复配的方法， 形成含抗氧化剂的配方型系列新型胺基溶剂（MA-1）复合胺吸收溶剂， 使CO2吸收能力大幅提高，再生能耗下降。新型胺基溶剂（MA）在保 证CO2捕集率>90%条件下，再生能耗较MEA溶剂降低30%以上，溶剂 的抗氧化降解性能显著提高。,2022,1 万 t/年 CO2捕集与精制工程,商业应用,2000,80,268.79,null,null,1,268.79,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
石化化工,机改技术,CCUS技术,碳捕集、利用与封存技术-超临界管道运输、EOR,技术说明：,2019,36万吨-CO2,工业示范,209-213,553.7-821,null,null,null,null,null,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
石化化工,机改技术,CCUS技术,陆相油藏-CO2高效驱油与规模埋存一体化技术------可参与成本分析技术,技术说明：CO2驱油与埋存是将工业CO2捕集，输送到油藏进行驱油利用并实 现CO2规模埋存的一项技术。该技术以碳足迹迁移为主线，剖析CO2注 入与产出过程中CO2高效驱油及碳滞留机理，建立CO2驱油与埋存一体 化数值模拟及优化方法，制定协同优化方案，提高CO2混相程度，扩大 波及体积，实现最优注入量条件下的采收率与埋存率协同最优的目标， 达到CO2高效驱油利用与规模埋存的目的。,2022,心连心集团工业 捕集年捕集能力达到30万吨,商业应用,400,16,53.76,null,null,1,53.76,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
石化化工,机改技术,余热回收,多孔表面高通量管高效换热技术------可参与成本分析技术,技术说明：该技术是一种用于提高沸腾换热效率的强化换热技术，通过在普通换热管表面制造一层金属多孔层，达到强化沸腾传热的目的。金属多孔层能提供大量的泡核中心，可使传热维持在高效率的泡核沸腾状态，使沸腾换热系数达到光管的 3~8 倍，从而有效减少换热器的体积和数量；同时，表面的多孔使介质容易形成大直径气泡，可降低达到沸腾所需的过热度，减小传热温差，从而可以利用更低品位的余热，提高压缩机效率，实现节能减碳。,2022,年产 122.56 万吨低压蒸汽,商业应用,0,0,0,0,0,0,11.56,15,16.332,0.65328,2.45,null,null,0.212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
石化化工,机改技术,整体措施,多能互补型直流微电网及抽油机节能群控系统技术,技术说明：通过新能源风/光/储/网电等多能互补控制构成直流微电网，为多个抽油机电控终端供电，充分发挥直流供电的优点和多抽油机的群体优势。各抽油机冲次可根据采油工况优化调节，通过物联网无线通讯技术实现集群井间协调和监控管理。通过协调控制井群各抽油机上、下冲程状态，使下冲程向直流母线的馈能功率在处于上冲程耗能状态的抽油机上得以共享利用，即各抽油机倒发电馈能通过直流母线互馈共享、循环利用。该技术既提高能效，又降低谐波，从根本上解决油田抽油机电控长期存在的采油工艺和能效问题，大幅度降低所需供电变压器容量和台数，显著降低抽油机的耗电量，从而实现节能增效。,2022,0,商业应用,0,0,0,0,0,0,null,null,0,0,0,0,0,0,2300000,null,null,null,null,293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
石化化工,机改技术,氢氧化钠-整体措施,氯碱企业能源管理技术（Energy-management-technology-in-chlor-alkali-enterprises）------可参与成本分析技术,技术说明：,2016,null,商业应用,0,0,0,0,0,0,42.3,10,0,0,0,0,0,0,0,0,0,0,0,0,68.36,0,9.73,62.16,2.08,0.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
石化化工,机改技术,氢氧化钠-整体措施,氯碱工艺中泵及风机高压变频技术（High-voltage-frequency-converter-for-pumps,-fans-in-caustic-soda）------可参与成本分析技术,技术说明：,2016,null,商业应用,0,0,0,0,0,0,969.7,10,0,0,0,0,0,0,0,0,0,0,0,0,6.73,0,0.96,1.711,0,0.00099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
石化化工,机改技术,氢氧化钠-氯氢处理,新型高效氢气压缩机（New-efficient-hydrogen-compressor）------可参与成本分析技术,技术说明：,2016,null,商业应用,0,0,0,0,0,0,36.9,25,0,0,0,0,0,0,0,0,0,0,0,0,3.65,0,0.31,14.515,0,0.0084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
石化化工,机改技术,氢氧化钠-氯氢处理,氟利昂制冷一体机（Freon-refrigeration-machine）------可参与成本分析技术,技术说明：,2016,null,商业应用,0,0,0,0,0,0,260.63,20,0,0,0,0,0,0,0,0,0,0,0,0,44.23,0,4.17,28.16,0,0.016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
石化化工,机改技术,氢氧化钠-氯氢处理,透平压缩机输送氯气（Turbine-compressor-for-chlorine-transport）------可参与成本分析技术,技术说明：,2016,null,商业应用,0,0,0,0,0,0,366.67,25,0,0,0,0,0,0,0,0,0,0,0,0,76.923,0,6.6,30.4,0,0.018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
