行业领域,技术类型,工艺环节,技术名称,技术说明,时间基准,规模基准,技术成熟度,投资成本(元/吨-氢),固定成本(元/吨-氢),可变成本(元/吨-氢),年化总成本(元/吨-氢),排放因子(tCO2/吨-氢),单位减排成本(元/吨CO2),运行寿命(y),利用率(%),
氢能,生产工艺,传统工艺,煤制氢------可参与成本分析技术,技术说明：,2020,平均,商业应用,3980,2240,1780,4361.53,20.2,null,25,82,
氢能,生产工艺,传统工艺,煤制氢2------可参与成本分析技术,技术说明：,2022,平均,商业应用,null,null,null,9000,22-35,null,null,null,
氢能,生产工艺,原料结构调整,天然气制氢------可参与成本分析技术,技术说明：,2020,平均,商业应用,9220,1235,2545,4571.17,8.9,18.55,25,82,
氢能,生产工艺,气基制氢,天然气制氢-H2为燃料------可参与成本分析技术,技术说明：,2021,2.1万吨/a,商业应用,15053.18,2074.54,32712.27,36078.53,1.46,1692.48,25,90,
氢能,生产工艺,气基制氢,天然气制氢-天然气为燃料------可参与成本分析技术,技术说明：,2021,2.1万吨/a,商业应用,12517.27,1807.27,22482.73,25364.11,6.16,1495.91,25,90,
氢能,生产工艺,气基制氢,天然气制氢-天然气为燃料+CCS（化学碳捕集CA-MEA）------可参与成本分析技术,技术说明：,2021,2.1万吨/a,商业应用,15050,2074.54,22848.64,26214.63,0.56,1112.68,25,90,
氢能,生产工艺,气基制氢,天然气制氢-煤为燃料------可参与成本分析技术,技术说明：,2021,2.1万吨/a,商业应用,9596.36,1495.45,18203.18,20522.1,5.26,1081.7,25,90,
氢能,生产工艺,气基制氢,天然气制氢-煤为燃料+CCS（化学碳捕集CA-MEA）------可参与成本分析技术,技术说明：,2021,2.1万吨/a,商业应用,11830,1734.09,18511.82,21261.05,0.45,855.67,25,90,
氢能,生产工艺,气基制氢,天然气制氢-电供能------可参与成本分析技术,技术说明：,2021,2.1万吨/a,商业应用,13643.64,1925,21241.82,24337.59,1.01,1040.96,25,90,
氢能,生产工艺,气基制氢,甲烷蒸汽重整制氢(steam-methane-reforming)------可参与成本分析技术,技术说明：,2021,2.1万吨/a,商业应用,12320,2100,11298,14455.19,9.18,915.94,25,90,
氢能,生产工艺,气基制氢,甲烷蒸汽重整制氢+CCS（化学碳捕集CA-MDEA）------可参与成本分析技术,技术说明：,2021,2.1万吨/a,商业应用,18884.1,3102,11432.3,16154.75,1.57,633.02,25,90,
氢能,生产工艺,电解水制氢,光伏+碱性电解水制氢,技术说明：,2050,null,商业应用,null,null,null,18200,null,685.07,11,74,
氢能,生产工艺,电解水制氢,光伏+质子交换膜电解水制氢,技术说明：,2050,null,商业应用,null,null,null,18900,null,719.73,11,80,
氢能,生产工艺,电解水制氢,核电+碱性电解水制氢,技术说明：,2050,null,商业应用,null,null,null,17800,null,665.27,11,74,
氢能,生产工艺,电解水制氢,核电+质子交换膜电解水制氢,技术说明：,2050,null,商业应用,null,null,null,18500,null,699.92,11,80,
氢能,生产工艺,电解水制氢,核能高温堆热制氢,技术说明：,2050,null,商业应用,null,null,null,17800,null,665.27,40,40,
氢能,生产工艺,电解水制氢,水电+碱性电解水制氢,技术说明：,2050,null,商业应用,null,null,null,16800,null,615.77,11,74,
氢能,生产工艺,电解水制氢,水电+质子交换膜电解水制氢,技术说明：,2050,null,商业应用,null,null,null,17600,null,655.37,11,80,
氢能,生产工艺,电解水制氢,生物质气化,技术说明：,2050,null,商业应用,null,null,null,28100,null,1175.17,20,39,
氢能,生产工艺,电解水制氢,生物质气化+ccs,技术说明：,2050,null,商业应用,null,null,null,34000,null,1467.25,20,39,
氢能,生产工艺,电解水制氢,风电+碱性电解水制氢,技术说明：,2050,null,商业应用,null,null,null,20600,null,803.88,11,74,
氢能,生产工艺,电解水制氢,风电+质子交换膜电解水制氢,技术说明：,2050,null,商业应用,null,null,null,21100,null,828.64,11,80,
氢能,生产工艺,能源结构调整,水解制氢------可参与成本分析技术,技术说明：,2020,平均,商业应用,5270,1000,28730,30182.22,0,1278.25,25,82,
